Nome,Criada em,Prazo,Prioridade,Responsável,Selecionar,Status
Criação do CNPJ,"January 20, 2026 2:50 PM",,,joao eduardo lucas pereira,,Em andamento
Abertura de Conta Bancária,"January 20, 2026 2:51 PM",,,joao eduardo lucas pereira,,A fazer
Automação para cadastro no Marketplace,"January 25, 2026 1:58 PM",,,"joao eduardo lucas pereira, João Gabriel dos Santos ",,Em andamento
Transferir WhatsApp Business do Matheus para o Hugo,"January 28, 2026 4:55 PM",,Alta 🔥,"joao eduardo lucas pereira, Hugo Falk",,Completa
Criar minutas contratuais com Clientes e Criadores,"February 2, 2026 5:12 PM",,,joao eduardo lucas pereira,,A fazer
Criar apresentação para Criadores,"February 11, 2026 6:27 PM",,Média,"Marcelo Carneiro Lucas Pereira, joao eduardo lucas pereira, Matheus Amormino ",,A fazer
Funil Perpétuo Meta ADS,"February 18, 2026 9:58 AM",,Alta 🔥,"Marcelo Carneiro Lucas Pereira, João Gabriel dos Santos ",,Em andamento
Publicar todos os lotes no Storys em Destaques,"February 18, 2026 10:09 AM",,Alta 🔥,Marcelo Carneiro Lucas Pereira,,A fazer
Planilha de Acompanhamento Growth e Comercial,"February 18, 2026 10:10 AM",,Alta 🔥,"Marcelo Carneiro Lucas Pereira, João Gabriel dos Santos , Hugo Falk",,Em andamento
Apresentações Comerciais e Institucionais,"February 18, 2026 10:11 AM",,Alta 🔥,Marcelo Carneiro Lucas Pereira,,A fazer
Alterações no Marketplace,"February 18, 2026 10:16 AM",,Alta 🔥,"Marcelo Carneiro Lucas Pereira, joao eduardo lucas pereira",,Em andamento
Análise de Crédito,"February 18, 2026 10:23 AM",,Alta 🔥,"Hugo Falk, joao eduardo lucas pereira",,A fazer
Ferramenta de acompanhamento comercial Chatbot,"February 18, 2026 10:30 AM",,Alta 🔥,"Marcelo Carneiro Lucas Pereira, Hugo Falk, João Gabriel dos Santos ",,A fazer
